tweet,urgency_level
@user [rp/rt]   #iskooperation : we will operate tom 8am at up chk gym. we will accept donations til 10pm today. #reliefph,0
"@user #rescueph melyn pabustan w/ 3 kids 09175119505 purok 3, malanday, marikina; their house is near the national high school. ...",1
@user people needing help may text @user at 09051456217 | 09293510068 | 09323608563. please retweet. #rescueph,0
@user @user flood in ust hospital is now on the 2nd floor. no food for the patients n staff #rescueph @user ,1
@user please help rt @user rt @user #rescueph @user those who are in uerm the flood is now goi ...,1
"@user use #rescueph hashtag to allow all media outlets to monitor tweets related to the floods, rescue operations. thanks!",0
@user still no help!! #rescueph rt @user please just evacuate us to the nearest passable road. been asking help for mo ...,1
@user rain affects close to a million in 11 regions! read: #weatheralert #floodph,0
@user pagasa 5pm advisory: green warning for metro manila. heavy-intense rains in next 3 hrs. threat of floods in low-lying are ...,0
"@user up-pgh update: pgh director says, pgh is under control. #reliefph (via @upmanilaonline)",0
@user my friend from saluysoy meycauayan bulacan needs help! malapit na daw sa 2nd floor ung baha doon. please rt this #rescueph,1
does tweeting the contact details w hashtag #rescueph actually help? is there a number i can text to report people in danger?,0
grabe! t_t rt @user urgent - help is needed in ust hospital. flood has reached the building's 2nd level. #rescueph,1
@user rt @user where to bring your donations? under church heading. thanks gma news! #reliefph,0
"@user rt @user #rescueph roldan family,gen segundo st. heroes hills. the mother has cancer. theyre trapped on their roof ...",1
@user mayor jun binay also says that @user will also receive calls for rescue in the makati area #rescueph | via usec. ...,0
@user flood in the ust hospital is now on the 2nd floor. no food for the patients &amp; staff. pls. help! #rescueph @user ,1
"@user #rescueph rescue needed gigi asuncion &amp; family (incl.1 yr old baby) &amp; 70 y/o dad. 507 kamagong st, st josep ...",1
@user #netsuite #grantee @user shares map of relief donation centers in ph. #reliefph,0
"rains flood manila area, sending thousands fleeing  new york times",0
"@user francis pelayo;bl5 lt6 eissenhower st,mcarthur vill, longos,malolos,bulacan. baby needs milk.flood is chest deep. #rescueph",1
"mariano marcos memorial high school is now open for evacuation for those who are affected by the floods in sta. ana and pandacan, manila. :)",0
#rescueph 1000 tv channels on your cell phone? fufu,0
@user saludo ako sa mga rescuer. mas importante sa kanila makasagip ng tao kahit walang pahinga.  #rescueph,0
man for all men! :) here we go. #csareliefops #reliefph,0
@user for those who want to volunteer in up chk gym 9am for the iskooperation. #reliefph,0
@user atene hs #reliefph kitchen update as of 1:50 pm: we have donated a total of 5490 meal packs! woot! woot! #goateneo,0
#NAME?,
#NAME?,
"@user those who need rescue, put a white blanket on roof of house or out your window so rescuers can see you.  #rescueph",0
"@user ua&amp;p update (2:32pm): we need canned goods, tissue and biscuits. thank you! #reliefph",1
@user ingat kayo dyan if you need to be rescued tweet mo lang @user or #rescueph,0
@user @user please help! #65 manhattan cor paris st. provident. lola is bedridden :( leopoldo viola-09332867387 #rescueph,1
"@user pack you. yes, we still need you to pack our goodies at the up chk gym tomorrow morning! #reliefph",0
@user @user 78 michael raymond st marietta romeo vill sta lucia pasig city #rescueph @user @mmda,0
please rt. kindly course your donations through st.scholastica's college manila  hotline: 567-7686 to 89 #rescueph,0
@user #rescueph #reliefph please rt @user pls rt,0
"@user anyone from malabon? pls help preggy joann fernandez, kids needing immediate #rescueph at kaingin 2 st. tenejeros, mala ...",1
@user @user @user @user #reliefph rt @user 2yo toddler stuck w/ 91 y.o.lola @ 2nd flr of hse. . ...,1
"@user please send over food, water and blankets to trinity university of asia high school along e. rodriguez! thank you! #rescueph",1
@user heavy rains in taguig as well rt @user its raining hard again in manila. stay safe guys. #floodsph,0
@user 22 b evangelista st xavierville 1 qc. neil flores. 20 people in the house. pls send help. #rescueph @user @user ,1
the u.s. embassy here in manila looks like it is floating above the flood. it has been two weeks and the hea,0
"please rt! a certain rodrigo salvador is need of rescue. he is with 6 kids, 9 others. 184 kaliraya st., cluster 12, tatalon #rescueph",1
"aerial view of manila flood aug 7th, 2012 (please help): via @user from mikey bustos",0
"@user rescue pls hed woodwork 338 gov pascual brgy catmon, malabon tapat ng gulayan near chinese temple 0917846655 #rescueph",0
"subscribe to my list weather-traffic-update #rescueph to get tweets only about rain/flooding in ph, you don't have to follow me it's public.",0
"@user pal passengers to/from manila, who are unable to take their flights due to floods may rebook their tickets--with rebooking c ...",0
flood can harm animals just as easily as it can harm people!place horses to safer place &amp; not take advantage for money from this! #rescueph,0
"@user heard that floods in manila are up to the neck, many people are in danger. please stay safe, praying for you #prayfort ...",0
@user ateneo hs #reliefph: kitchen needs cooking oil. supplies running low. please rt,0
it's just sad how my posting in #rescueph never got a reply from people who are volunteering. #hoping my friend is okay.,0
@user pls help cherrylyn aggabao pregnant due na po niya on aug 11 61 sitio balot tonsuya malabon city #rescueph,1
@user knee high flood at pedro gil to pgh. #floodsph #mmda @user @user @user @user,0
consolidated list of people who need rescuing. #rescueph,0
#NAME?,
"@user pls help the people here in tua high school along e. rod they need food, water, clothes and blankets! #rescueph pls rt!",1
"@user #rescueph trapped no food water since 9am ellen,ph9, mariposa st midtown village cainta,09062424937",1
"@user smart subs, in case you run out of load. you get a lifeline of few more texts... simply dial *767 (*sos) #rescueph",0
@user emergency numbers list. #reliefph @user | via @gangbadoy,0
a picture paints a thousand words. what a shot! rt @user #ust #flood #habagat ,0
"@user hospitals that need help (food &amp; water): ust hospital, uerm and philippine general hospital. #rescueph @user ",1
"@user bea bautista, (6 people with her including baby) 1223 maria christina st sampaloc manila #rescueph @user please rt",1
@user #rescueph rt @user nasa bubong with 1 y/o baby. charmaine dequit 64 langka st. bulelak malanday marikina c ...,1
ua&amp;p's bea and catalyst are used for @user donations. please check this out #reliefph @dzmmteleradyo,0
@user if you see animals or pets in need of rescue please contact peta. call 817-5292. thank you. #rescueph #floodmnl pls rt,0
@user rt @user #rescueph #rescue5ph marikina river is now 28.14 m above sea level! wake up!,0
"daryll patco 54 thaddeus st. marietta romeo village, brgy. sta. lucia, pasig 09175695576 @user @user #rescueph #floodsph",0
@user pls rt: need rescue 65 st peter ave francisco subd veintereales valenzuela city! mother+child+pets #rescueph,1
"@user @user drinking water needed for 20-30 ppl at #177 rp palad st, moras dela paz, sto tomas,pampanga #rescueph #reliefph",1
@user @user @user #rescueph i need help for 81yr old grandma stuck alone in her house victoria teeten tan  2309 unit#301 g. ...,1
#rescueph the easiest way to get tv on your phone? fufu,0
"if floods end up banging up my manila badly, considering running charity shirt drive. @user @user game?",0
@user pagasa 11:30pm advisory: red warning for metro manila. heavy-intense rains in next 3 hrs. floods ...,0
#calumpit was titled as the #waterworld and for miles and miles was 10 under ft of flood water. #rescueph #b,0
"it hasn't stopped raining since lunch time. waist-deep floods again all over manila. take care, people!",0
@user sos!ust hospital flood now on the 2/f.no food for the patients &amp; staff. please rt! #rescue5 #rescueph @mmda,1
@user #reliefoperations #rescueph,0
konting click lang makakadonate ka na! #tulongkabataan via paypal. just click this link: #reliefph,0
"@user pls save dis family! #rescueph cp #09292440006 #277 matipuno st. pinalagad, malinta val. city. may tela puti malapit s ...",1
"@user bedans, heed the clarion call! drop off your donations at the students' lounge of sbca #reliefph",0
@user gma kapuso foundation #operationbayanihan relief ops hotline: (02) 981-1950 #reliefph #24oras,0
"need help asap w/ 3 days old baby unit 1 pine cluster st., pineville subd. lawa meycauayan bulacan. 09166049812 #rescueph @rescue5ph",1
"aerial view of manila flood - aug 7th, 2012 (please help): via @youtube",0
"@user flood alert: san marcelino taft ayala, manila, as of 6:37am not passable to all types of vehicles | via @mmda",0
@user hi @user can every tweet with hashtag #rescueph be a $1 donation to the philippines victims? - pls retweet this until ...,0
@user rt @user surfers distributing relief goods in rizal with their long boards. @user #reliefph,0
@user stay tuned for announcements. check the #reliefph,0
"as of 8:10am aug 8,update on relief operations: #reliefph",0
@user rt @user twitter accounts u can tweet directly 4 faster rescue response. pls avoid unnecessary traffic #rescueph h ...,0
"manila floods, displacing tens of thousands via @timeworld",0
rescue database #rescueph,0
@user nasa bubong with 1y/o baby. charmaine dequit 64 langka st. bulelak malanday marikina city 09172551204 #rescueph,1
@user pls help rt #rescueph #reliefph at gemini st. villariva subd. sto.domingo cainta (cont),1
"@user [donate / #reliefph] pinoy b2utys (and even international ones) , we will be needing your help as beastph will be... http:/ ...",0
torrential rains pounding the philippine capital on tuesday paralyzed traffic as waist-deep floods triggered...,0
@user saludo kami sa mga #rescueph team at sa mga volunteers. ndi pa sila kumakain pero deadma basta makatulong. #bayanihan,0
@user ust hospital food shortage @user #rescueph,1
"@user text red &lt;amt&gt; to 2899 donate even small amounts to red cross. 20,50,100.. be generous with our loads.#reliefph #rescueph",0
"@user anyone near ust hospital? they need help badly. 2nd floor is flooded, patients &amp; staff have no food. #rescueph",0
philippine red cross donations for flood victims,0
philippine capital hit by floods,0
@user fyi: @user is preparing for its second deployment of volunteers. volunteers needed! info: #reliefph,0
"@user @user napadala na raw red cross sa uerm, as tweeted by @user of @user babies'll be safe. #yay #rescueph",0
