indexA,indexB,tweet,info_type,urgency_level
342,129,"aerial view of manila flood - aug 7th, 2012 (please help): via @youtube","Disaster Update, Photo",0.0
344,123,@user #reliefoperations #rescueph,nan,0.0
345,92,"subscribe to my list weather-traffic-update #rescueph to get tweets only about rain/flooding in ph, you don't have to follow me it's public.",Informational,0.0
350,144,"@user text red &lt;amt&gt; to 2899 donate even small amounts to red cross. 20,50,100.. be generous with our loads.#reliefph #rescueph",Specific Rescue,0.0
353,50,@user please help rt @user rt @user #rescueph @user those who are in uerm the flood is now goi ...,General Rescue,1.0
354,78,@user @user please help! #65 manhattan cor paris st. provident. lola is bedridden :( leopoldo viola-09332867387 #rescueph,Specific Rescue,1.0
358,98,@user pls help cherrylyn aggabao pregnant due na po niya on aug 11 61 sitio balot tonsuya malabon city #rescueph,Specific Rescue,1.0
367,3,@user if you see animals or pets in need of rescue please contact peta. call 817-5292. #rescueph,"Informational, Animal",0.0
368,53,@user rain affects close to a million in 11 regions! read: #weatheralert #floodph,Disaster Update,0.0
371,65,"rains flood manila area, sending thousands fleeing  new york times",Disaster Update,0.0
373,134,"as of 8:10am aug 8,update on relief operations: #reliefph","Disaster Update, Logistical",0.0
375,22,@user carita manila accepting donations4 flood victims: acct# bpi 3063-5357-01/mb 175-3-17506954- /bdo 5600-45905/pnb 10-856-660001-7,Aid,0.0
378,146,philippine red cross donations for flood victims,Aid,0.0
379,52,@user still no help!! #rescueph rt @user please just evacuate us to the nearest passable road. been asking help for mo ...,Specific Rescue,1.0
384,93,"@user pal passengers to/from manila, who are unable to take their flights due to floods may rebook their tickets--with rebooking c ...",Disaster Update,0.0
388,39,"hashtags help coordinate relief efforts in philippine floods:   in the midst of widespread flooding in manila, w...","Informational, Logistical",0.0
404,38,@user @user please rescue tin masangcay and family 09159666718 leo st villarica subd cainta pls send help to cainta! #rescueph,Specific Rescue,1.0
410,136,"manila floods, displacing tens of thousands via @timeworld",Disaster Update,0.0
412,135,@user rt @user twitter accounts u can tweet directly 4 faster rescue response. pls avoid unnecessary traffic #rescueph h ...,"Informational, Logistical",0.0
413,27,"#reliefph #rescueph rt @user de los santos medical on e. rod w/o food, power, needs help -","Specific Rescue, Food, Generator",1.0
414,43,@user rt @user hashtags help coordinate relief efforts in philippine floods - #smem,"Informational, Logistical",0.0
428,44,"@user #reliefph #floodsph list: evacuation centers, relief operations in metro manila ",Disaster Update,0.0
432,28,@user @user @user bulacan flood victims they need help :( please rt this . thanks guys . #rescueph #reliefph,General Rescue,0.0
433,41,how bad is this. i know olympics is on but surprised not on tv @user floods submerge most of philippine capital,nan,0.0
435,110,ua&amp;p's bea and catalyst are used for @user donations. please check this out #reliefph @dzmmteleradyo,nan,0.0
440,31,@user #rescueph daryll patco is on the roof of his house right now 54 thaddeus marietta romeo village brgy sta lucia pasig city 0 ...,Specific Rescue,0.0
442,59,@user rt @user where to bring your donations? under church heading. thanks gma news! #reliefph,Aid,0.0
448,14,"@user rt: 911! a house on hacienda avenue, hacienda heights, brgy concepcion 2, marikina is burning! #rescueph",Specific Rescue,1.0
452,80,@user @user 78 michael raymond st marietta romeo vill sta lucia pasig city #rescueph @user @mmda,General Rescue,0.0
455,20,@user please retweet. help: uerm qc and de los santos medical center qc #reliefph #rescueph,Foreign Language,0.0
457,87,@user 22 b evangelista st xavierville 1 qc. neil flores. 20 people in the house. pls send help. #rescueph @user @user ,Specific Rescue,1.0
458,148,@user fyi: @user is preparing for its second deployment of volunteers. volunteers needed! info: #reliefph,Volunteer,0.0
469,121,"it hasn't stopped raining since lunch time. waist-deep floods again all over manila. take care, people!",Disaster Update,0.0
471,82,@user #rescueph #reliefph please rt @user pls rt,nan,0.0
474,99,@user knee high flood at pedro gil to pgh. #floodsph #mmda @user @user @user @user,Disaster Update,0.0
475,46,@user [rp/rt]   #iskooperation : we will operate tom 8am at up chk gym. we will accept donations til 10pm today. #reliefph,Aid,0.0
477,108,"@user bea bautista, (6 people with her including baby) 1223 maria christina st sampaloc manila #rescueph @user please rt",Specific Rescue,1.0
478,4,"@user excuse me, bea bautista, 6 people + including baby 1223 maria christina st sampaloc manila 09151492803 #rescueph @user ",Specific Rescue,0.0
482,126,"@user bedans, heed the clarion call! drop off your donations at the students' lounge of sbca #reliefph",Aid,0.0
483,24,"@user list of suspension announcements for august 9, 2012  #phalerts #rescueph",Disaster Update,0.0
486,67,"mariano marcos memorial high school is now open for evacuation for those who are affected by the floods in sta. ana and pandacan, manila. :)",Logistical,0.0
497,11,"@user to all who can donate money, ua&amp;p hopes to buy a 70k boat for our relief operations. #reliefph @user @user h ...",Aid,0.0
510,69,@user saludo ako sa mga rescuer. mas importante sa kanila makasagip ng tao kahit walang pahinga.  #rescueph,Foreign Language,0.0
515,6,"@user bacolod let's unite and support manila flood victims! you may drop your donations at victory robinsons, la salle, a ...",Aid,0.0
522,70,man for all men! :) here we go. #csareliefops #reliefph,nan,0.0
536,112,@user rt @user #rescueph #rescue5ph marikina river is now 28.14 m above sea level! wake up!,Disater Development,0.0
547,48,@user people needing help may text @user at 09051456217 | 09293510068 | 09323608563. please retweet. #rescueph,Informational,0.0
550,21,@user people needing help may text @user at 09051456217 | 09293510068 | 09323608563. #rescueph #phalerts (via @pcdspo),Informational,0.0
552,2,@user updated emergency hotlines via @user #phalerts #rescueph | via @pcdspo,nan,0.0
560,86,@user heavy rains in taguig as well rt @user its raining hard again in manila. stay safe guys. #floodsph,nan,0.0
561,96,@user ateneo hs #reliefph: kitchen needs cooking oil. supplies running low. please rt,"Aid, Food",1.0
563,97,it's just sad how my posting in #rescueph never got a reply from people who are volunteering. #hoping my friend is okay.,Good Wishes,0.0
577,56,@user my friend from saluysoy meycauayan bulacan needs help! malapit na daw sa 2nd floor ung baha doon. please rt this #rescueph,Specific Rescue,1.0
582,66,"@user francis pelayo;bl5 lt6 eissenhower st,mcarthur vill, longos,malolos,bulacan. baby needs milk.flood is chest deep. #rescueph",Specific Rescue,1.0
585,139,@user pls help rt #rescueph #reliefph at gemini st. villariva subd. sto.domingo cainta (cont),nan,1.0
595,0,"@user help victims of habagat. pls donate to the red cross. globe subs, please text red &lt;5,25,50,100 or 300&gt; to 2899 #rescueph",Aid,0.0
599,76,"@user ua&amp;p update (2:32pm): we need canned goods, tissue and biscuits. thank you! #reliefph",Aid,1.0
601,72,@user atene hs #reliefph kitchen update as of 1:50 pm: we have donated a total of 5490 meal packs! woot! woot! #goateneo,nan,0.0
604,106,a picture paints a thousand words. what a shot! rt @user #ust #flood #habagat ,nan,0.0
611,133,@user stay tuned for announcements. check the #reliefph,nan,0.0
613,79,"@user pack you. yes, we still need you to pack our goodies at the up chk gym tomorrow morning! #reliefph",nan,0.0
614,140,"@user [donate / #reliefph] pinoy b2utys (and even international ones) , we will be needing your help as beastph will be... http:/ ...",nan,0.0
616,8,just got home from a relief goods operation #holcimphils #prayforphilippines #floodph,nan,0.0
618,64,@user #netsuite #grantee @user shares map of relief donation centers in ph. #reliefph,nan,0.0
623,120,#calumpit was titled as the #waterworld and for miles and miles was 10 under ft of flood water. #rescueph #b,nan,0.0
635,124,konting click lang makakadonate ka na! #tulongkabataan via paypal. just click this link: #reliefph,nan,0.0
648,36,residents clean up muck-ridden manila after floods - times live,nan,0.0
651,132,@user rt @user surfers distributing relief goods in rizal with their long boards. @user #reliefph,nan,0.0
657,32,@user man during  floods in manila moves dogs from roof of house to rescue boat.courtesy of helped by animals... ...,nan,0.0
